host,host_label,statistic,detector,D_L_Gpc,DM,A_V,L_min_Lsun,N_zone,N_zone_f_burst,f_burst,r_E_pc,column_Msun_per_pc2
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v1-frozen,blind_harmonic_sum,0.2,36.51,0.0,61.0164,4.66436,0.466436,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v1-frozen,blind_harmonic_sum,0.35,37.72,0.0,438.44,0.65843,0.065843,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v1-frozen,blind_harmonic_sum,0.5,38.49,0.0,1587.82,0.111377,0.0111377,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v1-frozen,blind_harmonic_sum,0.7,39.23,0.0,6021.36,0.00160087,0.000160087,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v1-frozen,blind_harmonic_sum,0.85,39.65,0.0,11442.3,0,0,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v1-frozen,blind_harmonic_sum,1.0,40.0,0.0,15796.1,0,0,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v1-frozen,blind_harmonic_sum,2.0,41.51,0.0,63452.8,0,0,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v1-frozen,blind_harmonic_sum,2.9,42.31,0.0,,,,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v3-physical,global_max,0.1,35.0,0.0,3105.44,0.0585864,0.00585864,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v3-physical,global_max,0.2,36.51,0.0,3105.44,0.0585864,0.00585864,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v3-physical,global_max,0.35,37.72,0.0,3105.44,0.0585864,0.00585864,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v3-physical,global_max,0.5,38.49,0.0,3405.12,0.0466426,0.00466426,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v3-physical,global_max,0.7,39.23,0.0,4567.36,0.0181247,0.00181247,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v3-physical,global_max,0.85,39.65,0.0,8729.42,0,0,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v3-physical,global_max,1.0,40.0,0.0,12050.9,0,0,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v3-physical,global_max,2.0,41.51,0.0,48408.5,0,0,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v3-physical,global_max,2.9,42.31,0.0,,,,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v3-physical,blind_harmonic_sum,0.1,35.0,0.0,3105.44,0.0585864,0.00585864,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v3-physical,blind_harmonic_sum,0.2,36.51,0.0,3105.44,0.0585864,0.00585864,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v3-physical,blind_harmonic_sum,0.35,37.72,0.0,3405.12,0.0466426,0.00466426,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v3-physical,blind_harmonic_sum,0.5,38.49,0.0,5459.9,0.00545518,0.000545518,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v3-physical,blind_harmonic_sum,0.7,39.23,0.0,14200,0,0,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v3-physical,blind_harmonic_sum,0.85,39.65,0.0,20945,0,0,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v3-physical,blind_harmonic_sum,1.0,40.0,0.0,28914.5,0,0,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v3-physical,blind_harmonic_sum,2.0,41.51,0.0,,,,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v3-physical,blind_harmonic_sum,2.9,42.31,0.0,,,,0.1,1.95686,230.773
