statistic,detector,floor_mag,D_L_Gpc,DM,A_V,m_nuc,M_total_Msun,L_min_Lsun,R_at_Lmin_Rsun,Sigma_detectable_per_pc2,r_E_pc,einstein_area_pc2,N_zone,column_Msun_per_pc2
v3-physical,blind_harmonic_sum,0.262838,0.35,37.72,0.5,19.0,20000000000.0,4752.65,264.742,6.26438e-06,1.95686,12.0301,7.53614e-05,230.773
v3-physical,blind_harmonic_sum,0.218584,0.5,38.49,0.5,19.0,20000000000.0,8533.3,300.744,0,1.95686,12.0301,0,230.773
v3-physical,blind_harmonic_sum,radius-dependent,0.7,39.23,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,blind_harmonic_sum,radius-dependent,0.85,39.65,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,blind_harmonic_sum,radius-dependent,1.0,40.0,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,blind_harmonic_sum,radius-dependent,2.0,41.51,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,blind_harmonic_sum,radius-dependent,2.9,42.31,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,blind_harmonic_sum,0.307147,0.1,35.0,1.0,19.0,20000000000.0,3662.54,215.431,2.71227e-05,1.95686,12.0301,0.00032629,230.773
v3-physical,blind_harmonic_sum,0.307147,0.2,36.51,1.0,19.0,20000000000.0,3662.54,215.431,2.71227e-05,1.95686,12.0301,0.00032629,230.773
v3-physical,blind_harmonic_sum,0.218584,0.35,37.72,1.0,19.0,20000000000.0,6654.52,300.744,0,1.95686,12.0301,0,230.773
v3-physical,blind_harmonic_sum,radius-dependent,0.5,38.49,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,blind_harmonic_sum,radius-dependent,0.7,39.23,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,blind_harmonic_sum,radius-dependent,0.85,39.65,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,blind_harmonic_sum,radius-dependent,1.0,40.0,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,blind_harmonic_sum,radius-dependent,2.0,41.51,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,blind_harmonic_sum,radius-dependent,2.9,42.31,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,blind_harmonic_sum,0.307147,0.1,35.0,2.0,19.0,20000000000.0,3662.54,215.431,2.71227e-05,1.95686,12.0301,0.00032629,230.773
v3-physical,blind_harmonic_sum,0.233227,0.2,36.51,2.0,19.0,20000000000.0,5725.26,287.556,6.43908e-07,1.95686,12.0301,7.74631e-06,230.773
